Date,Open,High,Low,Close,Volume,SMA_5_Open,SMA_10_Open,Daily_Return,Daily_Volatility,Rolling_Volatility_10,Intraday_Sentiment,Overnight_Gap,Next_Day_Open
2021-01-14,897.6171875,907.7240600585938,894.8712768554688,904.8165893554688,21553242,892.38837890625,900.2408020019532,1.1244106283356798,12.852783203125,18.056170654296853,7.19940185546875,2.861328125,904.8165893554688
2021-01-15,904.8165893554688,910.9083862304688,886.102783203125,894.1328735351562,20593268,896.320361328125,898.9762939453125,-1.1807603823801318,24.80560302734375,19.84448242187498,-10.6837158203125,0.0,899.5093383789062
2021-01-18,899.5093383789062,921.6151733398438,887.625732421875,915.5925903320312,35100458,897.2710571289062,896.8533935546875,2.4000590328402938,33.98944091796875,21.817395019531226,16.083251953125,5.37646484375,920.5306396484376
2021-01-19,920.5306396484376,937.30615234375,920.5306396484376,930.5682983398438,32006615,905.7303466796875,898.0371398925781,1.6356301007614857,16.775512695312386,22.221203613281215,10.037658691406136,4.938049316406364,932.8757934570312
2021-01-20,932.8757934570312,949.7666625976562,923.645751953125,948.2437133789062,30924537,911.0699096679688,900.5984680175782,1.899421576105254,26.12091064453125,22.025073242187467,15.367919921875,2.3074951171875,960.8426513671876
2021-01-21,960.8426513671876,978.379638671875,957.6121826171876,968.8727416992188,39087742,923.7150024414062,908.0516906738281,2.175498558994337,20.767456054687386,22.262744140624953,8.030090332031136,12.598937988281364,974.2261352539062
2021-01-22,974.2261352539062,976.2337036132812,939.2213745117188,945.8900756835938,30532660,937.5969116210938,916.9586364746094,-2.372103685703632,37.0123291015625,24.750231933593703,-28.3360595703125,5.3533935546875,939.1290893554688
2021-01-25,939.1290893554688,939.1290893554688,891.61767578125,895.7711791992188,54207104,945.5208618164063,921.3959594726563,-5.2985962928254775,47.51141357421875,27.36463012695308,-43.35791015625,-6.760986328125,888.38720703125
2021-01-27,888.38720703125,888.38720703125,871.3117065429688,874.5421752929688,42370131,939.0921752929687,922.4112609863281,-2.369913701089136,17.07550048828125,26.29856567382809,-13.84503173828125,-7.38397216796875,867.6889038085938
2021-01-28,867.6889038085938,887.6026611328125,863.0046997070312,866.0275268554688,34067814,926.0547973632813,918.562353515625,-0.9736120999136058,24.59796142578125,26.150891113281226,-1.661376953125,-6.853271484375,874.2191162109375
2021-01-29,874.2191162109375,882.8953247070312,844.544677734375,850.0596313476562,43712383,908.7300903320313,916.2225463867187,-1.8438092338463719,38.35064697265625,28.70067749023435,-24.15948486328125,8.19158935546875,858.11279296875
